img_name,raw_height,raw_width,X,Y,D
test_1,1424,2144,371,14,1396
test_10,1424,2144,371,12,1398
test_100,1424,2144,372,10,1402
test_101,1424,2144,370,16,1390
test_102,1424,2144,371,19,1386
test_103,1424,2144,371,18,1386
test_104,1424,2144,372,20,1384
test_105,1424,2144,371,17,1388
test_106,1424,2144,371,18,1386
test_107,1424,2144,375,23,1389
test_108,1424,2144,371,18,1386
test_109,1424,2144,370,17,1388
test_11,1424,2144,370,17,1388
test_110,1424,2144,370,13,1396
test_111,1424,2144,370,17,1388
test_112,1424,2144,371,18,1386
test_113,1424,2144,371,17,1388
test_114,1424,2144,371,18,1386
test_115,1424,2144,371,18,1386
test_116,1424,2144,370,18,1388
test_117,1424,2144,371,18,1388
test_118,1424,2144,371,18,1386
test_119,1424,2144,371,16,1390
test_12,1424,2144,371,18,1388
test_120,1424,2144,371,18,1386
test_121,1424,2144,371,18,1388
test_122,1424,2144,371,18,1386
test_123,1424,2144,371,19,1386
test_124,1424,2144,371,18,1386
test_125,1424,2144,371,19,1386
test_126,1424,2144,371,17,1388
test_127,1424,2144,370,17,1388
test_128,1424,2144,370,16,1390
test_129,1424,2144,371,17,1388
test_13,1424,2144,371,18,1386
test_130,1424,2144,372,18,1386
test_131,1424,2144,372,19,1386
test_132,1424,2144,371,18,1386
test_133,1424,2144,372,19,1386
test_134,1424,2144,371,18,1386
test_135,1424,2144,371,18,1386
test_136,1424,2144,371,18,1386
test_137,1424,2144,370,18,1386
test_138,1424,2144,371,19,1386
test_139,1424,2144,371,18,1386
test_14,1424,2144,370,17,1390
test_140,1424,2144,371,19,1386
test_141,1424,2144,370,17,1388
test_142,1424,2144,370,18,1388
test_143,1424,2144,371,18,1386
test_144,1424,2144,371,18,1386
test_145,1424,2144,370,17,1388
test_146,1424,2144,371,19,1386
test_147,1424,2144,370,18,1388
test_148,1424,2144,371,18,1388
test_149,1424,2144,370,19,1386
test_15,1424,2144,370,17,1392
test_150,1424,2144,371,18,1386
test_151,1424,2144,370,18,1388
test_152,1424,2144,369,16,1390
test_153,1424,2144,370,17,1388
test_154,1424,2144,371,18,1386
test_155,1424,2144,370,18,1388
test_156,1424,2144,369,17,1390
test_157,1424,2144,370,17,1388
test_158,1424,2144,370,18,1388
test_159,1424,2144,370,17,1388
test_16,1424,2144,370,17,1388
test_160,1424,2144,370,18,1388
test_161,1424,2144,370,18,1388
test_162,1424,2144,370,18,1388
test_163,1424,2144,370,17,1388
test_164,1424,2144,370,17,1388
test_165,1424,2144,370,18,1388
test_166,1424,2144,372,19,1386
test_167,1424,2144,371,18,1388
test_168,1424,2144,370,17,1388
test_169,1424,2144,370,19,1386
test_17,1424,2144,370,17,1388
test_170,1424,2144,370,18,1388
test_171,1424,2144,370,18,1388
test_172,1424,2144,370,18,1388
test_173,1424,2144,370,18,1388
test_174,1424,2144,370,17,1390
test_175,1424,2144,370,18,1388
test_176,1424,2144,370,18,1388
test_177,1424,2144,370,17,1390
test_178,1424,2144,370,18,1388
test_179,1424,2144,371,18,1386
test_18,1424,2144,371,17,1388
test_180,1424,2144,370,18,1388
test_181,1424,2144,370,18,1388
test_182,1424,2144,370,18,1388
test_183,1424,2144,371,18,1386
test_184,1424,2144,370,19,1388
test_185,1424,2144,370,19,1386
test_186,1424,2144,373,21,1389
test_187,1424,2144,371,19,1386
test_188,1424,2144,371,18,1388
test_189,1424,2144,372,17,1388
test_19,1424,2144,371,18,1386
test_190,1424,2144,370,17,1390
test_191,1424,2144,371,18,1388
test_192,1424,2144,370,17,1388
test_193,1424,2144,370,17,1388
test_194,1424,2144,371,16,1390
test_195,1424,2144,371,18,1388
test_196,1424,2144,371,17,1388
test_197,1424,2144,370,18,1388
test_198,1424,2144,371,17,1388
test_199,1424,2144,370,18,1386
test_2,1424,2144,370,17,1390
test_20,1424,2144,370,19,1388
test_200,1424,2144,370,17,1388
test_201,1424,2144,371,18,1388
test_202,1424,2144,370,17,1390
test_203,1424,2144,371,17,1388
test_204,1424,2144,371,17,1388
test_205,1424,2144,371,18,1388
test_206,1424,2144,371,18,1386
test_207,1424,2144,376,-2,1432
test_208,1424,2144,371,18,1388
test_209,1424,2144,370,17,1390
test_21,1424,2144,370,17,1390
test_210,1424,2144,371,18,1388
test_211,1424,2144,371,18,1388
test_212,1424,2144,370,18,1388
test_213,1424,2144,370,17,1390
test_214,1424,2144,370,17,1388
test_215,1424,2144,371,18,1386
test_216,1424,2144,370,18,1388
test_217,1424,2144,371,18,1386
test_218,1424,2144,371,17,1390
test_219,1424,2144,370,17,1388
test_22,1424,2144,370,18,1388
test_220,1424,2144,370,18,1388
test_221,1424,2144,371,18,1388
test_222,1424,2144,371,18,1388
test_223,1424,2144,371,18,1388
test_224,1424,2144,371,18,1388
test_225,1424,2144,370,18,1388
test_226,1424,2144,371,18,1388
test_227,1424,2144,370,18,1388
test_228,1424,2144,370,18,1388
test_229,1424,2144,370,18,1388
test_23,1424,2144,370,17,1388
test_230,1424,2144,371,18,1386
test_231,1424,2144,370,17,1388
test_232,1424,2144,373,21,1389
test_233,1424,2144,373,21,1389
test_234,1424,2144,370,19,1386
test_235,1424,2144,370,18,1388
test_236,1424,2144,370,16,1390
test_237,1424,2144,370,17,1388
test_238,1424,2144,370,17,1388
test_239,1424,2144,370,18,1388
test_24,1424,2144,370,18,1388
test_240,1424,2144,370,18,1388
test_241,1424,2144,370,18,1388
test_242,1424,2144,370,18,1386
test_243,1424,2144,369,19,1386
test_244,1424,2144,370,17,1388
test_245,1424,2144,370,18,1388
test_246,1424,2144,370,18,1388
test_247,1424,2144,370,18,1388
test_248,1424,2144,371,17,1390
test_249,1424,2144,370,17,1388
test_25,1424,2144,370,18,1388
test_250,1424,2144,371,18,1388
test_251,1424,2144,373,16,1384
test_252,1424,2144,372,16,1386
test_253,1424,2144,370,12,1392
test_254,1424,2144,370,14,1390
test_255,1424,2144,371,15,1386
test_256,1424,2144,372,14,1388
test_257,1424,2144,368,15,1390
test_258,1424,2144,370,18,1388
test_259,1424,2144,373,16,1386
test_26,1424,2144,370,19,1386
test_260,1424,2144,371,14,1388
test_261,1424,2144,371,14,1388
test_262,1424,2144,371,14,1388
test_263,1424,2144,371,16,1386
test_264,1424,2144,372,15,1386
test_265,1424,2144,371,14,1388
test_266,1424,2144,372,15,1388
test_267,1424,2144,371,14,1388
test_268,1424,2144,372,15,1386
test_269,1424,2144,372,15,1386
test_27,1424,2144,370,18,1388
test_270,1424,2144,371,14,1388
test_271,1424,2144,372,15,1386
test_272,1424,2144,371,14,1388
test_273,1424,2144,371,14,1388
test_274,1424,2144,372,15,1386
test_275,1424,2144,375,19,1387
test_276,1424,2144,371,14,1388
test_277,1424,2144,372,15,1386
test_278,1424,2144,372,20,1386
test_279,1424,2144,372,18,1388
test_28,1424,2144,370,18,1388
test_280,1424,2144,372,20,1386
test_281,1424,2144,372,19,1386
test_282,1424,2144,372,14,1386
test_283,1424,2144,372,15,1386
test_284,1424,2144,371,14,1388
test_285,1424,2144,372,15,1388
test_286,1424,2144,370,13,1388
test_287,1424,2144,372,14,1388
test_288,1424,2144,371,15,1388
test_289,1424,2144,371,19,1388
test_29,1424,2144,370,18,1388
test_290,1424,2144,370,18,1388
test_291,1424,2144,371,14,1388
test_292,1424,2144,371,14,1388
test_293,1424,2144,371,15,1386
test_294,1424,2144,372,15,1386
test_295,1424,2144,372,14,1386
test_296,1424,2144,373,5,1406
test_297,1424,2144,371,14,1388
test_298,1424,2144,371,18,1390
test_299,1424,2144,371,19,1388
test_3,1424,2144,370,18,1388
test_30,1424,2144,370,19,1388
test_300,1424,2144,371,18,1390
test_301,1424,2144,370,18,1390
test_302,1424,2144,370,14,1388
test_303,1424,2144,375,19,1389
test_304,1424,2144,372,16,1386
test_305,1424,2144,372,15,1386
test_306,1424,2144,370,14,1388
test_307,1424,2144,371,14,1388
test_308,1424,2144,371,14,1388
test_309,1424,2144,372,16,1384
test_31,1424,2144,368,12,1394
test_310,1424,2144,372,16,1386
test_311,1424,2144,372,15,1388
test_312,1424,2144,372,15,1386
test_313,1424,2144,370,18,1388
test_314,1424,2144,370,16,1388
test_315,1424,2144,371,14,1388
test_316,1424,2144,371,15,1386
test_317,1424,2144,371,19,1386
test_318,1424,2144,370,18,1388
test_319,1424,2144,370,17,1388
test_32,1424,2144,370,17,1390
test_320,1424,2144,370,18,1388
test_321,1424,2144,372,15,1386
test_322,1424,2144,372,15,1386
test_323,1424,2144,372,15,1388
test_324,1424,2144,372,15,1386
test_325,1424,2144,372,15,1388
test_326,1424,2144,372,15,1386
test_327,1424,2144,371,12,1388
test_328,1424,2144,371,14,1388
test_329,1424,2144,372,16,1386
test_33,1424,2144,371,18,1388
test_330,1424,2144,371,12,1392
test_331,1424,2144,372,15,1386
test_332,1424,2144,375,19,1389
test_333,1424,2144,372,15,1386
test_334,1424,2144,371,15,1386
test_335,1424,2144,372,15,1386
test_336,1424,2144,372,15,1386
test_337,1424,2144,371,14,1388
test_338,1424,2144,375,19,1389
test_339,1424,2144,371,14,1388
test_34,1424,2144,370,18,1388
test_340,1424,2144,372,16,1386
test_341,1424,2144,372,16,1386
test_342,1424,2144,372,16,1386
test_343,1424,2144,372,15,1386
test_344,1424,2144,372,15,1386
test_345,1424,2144,371,15,1388
test_346,1424,2144,372,16,1386
test_347,1424,2144,371,14,1388
test_348,1424,2144,373,21,1386
test_349,1424,2144,373,20,1388
test_35,1424,2144,370,19,1388
test_350,1424,2144,374,21,1386
test_351,1424,2144,373,21,1386
test_352,1424,2144,373,21,1388
test_353,1424,2144,372,16,1384
test_354,1424,2144,372,16,1386
test_355,1424,2144,372,16,1384
test_356,1424,2144,372,15,1386
test_357,1424,2144,371,15,1386
test_358,1424,2144,372,16,1386
test_359,1424,2144,371,14,1388
test_36,1424,2144,371,18,1386
test_360,1424,2144,372,14,1388
test_361,1424,2144,371,14,1388
test_362,1424,2144,370,14,1388
test_363,1424,2144,372,16,1386
test_364,1424,2144,371,15,1386
test_365,1424,2144,372,15,1386
test_366,1424,2144,371,15,1388
test_367,1424,2144,373,20,1388
test_368,1424,2144,373,20,1388
test_369,1424,2144,373,16,1386
test_37,1424,2144,371,18,1388
test_370,1424,2144,372,14,1386
test_371,1424,2144,373,19,1390
test_372,1424,2144,373,20,1388
test_373,1424,2144,373,20,1388
test_374,1424,2144,371,14,1388
test_375,1424,2144,372,15,1386
test_376,1424,2144,377,25,1387
test_377,1424,2144,373,20,1388
test_378,1424,2144,372,15,1386
test_379,1424,2144,372,14,1388
test_38,1424,2144,369,19,1388
test_380,1424,2144,372,15,1386
test_381,1424,2144,372,15,1386
test_382,1424,2144,372,16,1386
test_383,1424,2144,372,19,1390
test_384,1424,2144,372,20,1388
test_385,1424,2144,372,15,1386
test_386,1424,2144,375,19,1389
test_387,1424,2144,375,17,1389
test_388,1424,2144,371,14,1388
test_389,1424,2144,372,15,1386
test_39,1424,2144,370,18,1388
test_390,1424,2144,372,15,1386
test_391,1424,2144,372,15,1386
test_392,1424,2144,372,19,1380
test_393,1424,2144,372,16,1386
test_394,1424,2144,371,14,1388
test_395,1424,2144,371,14,1388
test_396,1424,2144,371,15,1386
test_397,1424,2144,377,25,1389
test_398,1424,2144,372,16,1386
test_399,1424,2144,372,15,1386
test_4,1424,2144,370,17,1390
test_40,1424,2144,370,18,1388
test_400,1424,2144,373,17,1384
test_401,1424,2144,372,16,1384
test_402,1424,2144,373,21,1388
test_403,1424,2144,373,21,1386
test_404,1424,2144,373,21,1386
test_405,1424,2144,373,21,1388
test_406,1424,2144,373,22,1386
test_407,1424,2144,374,21,1386
test_408,1424,2144,371,15,1386
test_409,1424,2144,372,15,1386
test_41,1424,2144,373,21,1391
test_410,1424,2144,372,15,1386
test_411,1424,2144,372,14,1388
test_412,1424,2144,371,11,1388
test_413,1424,2144,375,12,1404
test_414,1424,2144,372,21,1388
test_415,1424,2144,374,21,1386
test_416,1424,2144,373,21,1386
test_417,1424,2144,373,20,1388
test_418,1424,2144,371,15,1386
test_419,1424,2144,372,15,1386
test_42,1424,2144,370,18,1388
test_420,1424,2144,373,20,1388
test_421,1424,2144,373,20,1388
